time,NYE05.wind_speed_100m,NYE05.wave_height,RUWRF.wind_speed_100m,RUWRF.wind_dir_100m,NOAA.wave_height,NOAA.wave_dir,NOAA.wind_speed_10m,NOAA.wind_dir_10m
2019-08-18 02:00:00+00:00,3.7765333333333335,0.73,1.3183170744504265,341.00919196608913,0.96,181.91,0.59,55.81
2019-08-18 03:00:00+00:00,3.6347166666666664,0.71,1.6819022021119352,33.85653278394085,0.96,181.09,0.12,99.78
2019-08-18 04:00:00+00:00,3.5427,0.62,1.30990496255556,30.612184807658533,0.98,180.04,0.76,139.28
2019-08-18 05:00:00+00:00,3.716833333333333,0.71,0.9174997690871156,147.15605816867154,1.0,178.98,1.39,178.79
2019-08-18 06:00:00+00:00,3.965866666666667,0.7,2.18576862879692,201.0335484289008,1.02,177.93,2.03,218.29
2019-08-18 07:00:00+00:00,3.5910999999999995,0.74,2.8995838063357464,209.23919040155968,1.04,177.21,2.4,222.53
2019-08-18 08:00:00+00:00,2.9667166666666667,0.74,3.5860710075396627,222.60454289015613,1.07,176.49,2.78,226.76
2019-08-18 09:00:00+00:00,2.1134833333333334,0.75,4.490045257131244,243.93827260280486,1.09,175.77,3.15,231.0
2019-08-18 10:00:00+00:00,3.6010500000000003,0.8,5.3907825172987,236.24776170195702,1.1,176.98,3.32,230.37
2019-08-18 11:00:00+00:00,5.201666666666667,0.86,5.438832693501215,239.83225853332885,1.1,178.2,3.49,229.73
2019-08-18 12:00:00+00:00,6.114466666666668,0.86,5.3024017686978695,258.0850012139049,1.11,179.41,3.66,229.1
2019-08-18 13:00:00+00:00,5.7039,0.93,4.978180849692041,279.8721026501386,1.09,180.17,3.2,240.24
2019-08-18 14:00:00+00:00,4.613766666666667,1.06,4.448103638054481,282.6526449578677,1.08,180.93,2.75,251.39
2019-08-18 15:00:00+00:00,2.9526166666666662,0.87,4.170942431021839,271.40619609447936,1.06,181.69,2.29,262.53
2019-08-18 16:00:00+00:00,2.9070666666666667,0.86,3.4100380068465226,258.02003627611685,1.04,181.86,2.74,244.83
2019-08-18 17:00:00+00:00,3.1128,0.87,3.2077424334169424,219.04724061960098,1.03,182.02,3.2,227.13
2019-08-18 18:00:00+00:00,4.6747000000000005,0.81,4.151798296194898,199.3715114527001,1.01,182.19,3.65,209.43
2019-08-18 19:00:00+00:00,5.90205,0.82,5.808676492201826,193.652098204252,1.01,182.23,4.65,204.05
